,date,time,static
835,('date=2021-06-03', 'time=19:30:05'," 'down""')"
836,('date=2021-06-03', 'time=19:26:03'," 'up""')"
837,('date=2021-06-03', 'time=19:26:03'," 'up""')"
838,('date=2021-06-03', 'time=19:23:37'," 'down""')"
839,('date=2021-06-03', 'time=19:23:18'," 'up""')"
840,('date=2021-06-03', 'time=19:23:17'," 'up""')"
841,('date=2021-06-03', 'time=19:22:19'," 'down""')"
842,('date=2021-06-03', 'time=19:16:47'," 'up""')"
843,('date=2021-06-03', 'time=19:16:46'," 'up""')"
844,('date=2021-06-03', 'time=19:15:37'," 'down""')"
846,('date=2021-06-03', 'time=19:02:26'," 'up""')"
847,('date=2021-06-03', 'time=19:02:25'," 'up""')"
848,('date=2021-06-03', 'time=18:52:12'," 'down""')"
854,('date=2021-06-03', 'time=18:01:54'," 'up""')"
855,('date=2021-06-03', 'time=18:01:54'," 'up""')"
856,('date=2021-06-03', 'time=17:50:46'," 'down""')"
867,('date=2021-06-03', 'time=16:02:48'," 'up""')"
868,('date=2021-06-03', 'time=16:02:48'," 'up""')"
869,('date=2021-06-03', 'time=15:54:33'," 'down""')"
870,('date=2021-06-03', 'time=15:54:31'," 'down""')"
873,('date=2021-06-03', 'time=15:33:52'," 'up""')"
874,('date=2021-06-03', 'time=15:33:51'," 'up""')"
875,('date=2021-06-03', 'time=14:24:37'," 'down""')"
879,('date=2021-06-03', 'time=13:48:16'," 'up""')"
880,('date=2021-06-03', 'time=13:48:15'," 'up""')"
881,('date=2021-06-03', 'time=11:51:22'," 'down""')"
883,('date=2021-06-03', 'time=11:35:58'," 'up""')"
884,('date=2021-06-03', 'time=11:35:57'," 'up""')"
885,('date=2021-06-03', 'time=11:06:39'," 'down""')"
886,('date=2021-06-03', 'time=11:01:49'," 'up""')"
887,('date=2021-06-03', 'time=11:01:49'," 'up""')"
888,('date=2021-06-02', 'time=17:22:00'," 'down""')"
890,('date=2021-06-02', 'time=17:11:48'," 'up""')"
891,('date=2021-06-02', 'time=17:11:47'," 'up""')"
892,('date=2021-06-02', 'time=16:19:59'," 'down""')"
909,('date=2021-06-02', 'time=13:36:41'," 'up""')"
910,('date=2021-06-02', 'time=13:36:40'," 'up""')"
911,('date=2021-06-02', 'time=13:35:37'," 'down""')"
912,('date=2021-06-02', 'time=13:35:36'," 'down""')"
914,('date=2021-06-02', 'time=13:21:49'," 'up""')"
915,('date=2021-06-02', 'time=13:21:48'," 'up""')"
916,('date=2021-06-02', 'time=12:04:09'," 'down""')"
917,('date=2021-06-02', 'time=12:04:07'," 'down""')"
921,('date=2021-06-02', 'time=11:33:50'," 'up""')"
922,('date=2021-06-02', 'time=11:33:49'," 'up""')"
925,('date=2021-06-02', 'time=11:21:34'," 'down""')"
926,('date=2021-06-02', 'time=11:21:34'," 'down""')"
974,('date=2021-06-02', 'time=03:21:23'," 'up""')"
975,('date=2021-06-02', 'time=03:21:22'," 'up""')"
976,('date=2021-06-01', 'time=19:02:06'," 'down""')"
977,('date=2021-06-01', 'time=19:02:04'," 'down""')"
979,('date=2021-06-01', 'time=18:51:04'," 'up""')"
980,('date=2021-06-01', 'time=18:51:04'," 'up""')"
982,('date=2021-06-01', 'time=17:05:18'," 'down""')"
983,('date=2021-06-01', 'time=17:05:16'," 'down""')"
984,('date=2021-06-01', 'time=17:02:18'," 'up""')"
985,('date=2021-06-01', 'time=17:02:17'," 'up""')"
986,('date=2021-06-01', 'time=16:29:55'," 'down""')"
987,('date=2021-06-01', 'time=16:29:54'," 'down""')"
999,('date=2021-06-01', 'time=14:39:19'," 'up""')"
1000,('date=2021-06-01', 'time=14:39:19'," 'up""')"
